,Fuel type,body type,transmission,owner,Brand,model,modelYear,price,Insurance Validity,Kms Driven,Mileage,Seats,Color,City,price_clean,price_lakh
862,Diesel,MUV,Automatic,2,Toyota,Toyota Innova Crysta,2018,22.95,Comprehensive,37678,11.36,7.0,White,Bangalore,22.95 Lakh,22.95
863,Petrol,Hatchback,Manual,2,Honda,Honda Jazz,2017,5.28,Comprehensive,60442,18.7,5.0,Brown,Bangalore,5.28 Lakh,5.28
864,Diesel,SUV,Manual,1,Renault,Renault Duster,2014,6.91,Comprehensive,66463,20.45,5.0,Black,Bangalore,6.91 Lakh,6.91
865,Petrol,Sedan,Automatic,1,Skoda,Skoda Rapid,2020,11.45,Comprehensive,40844,16.24,5.0,Silver,Bangalore,11.45 Lakh,11.45
866,Petrol,Hatchback,Manual,1,Volkswagen,Volkswagen Polo,2021,8.55,Third Party,62696,19.24556842105263,5.0,White,Bangalore,8.55 Lakh,8.55
867,Petrol,Hatchback,Automatic,1,Maruti,Maruti Swift,2021,8.0,Third Party insurance,30000,21.21,5.0,Others,Bangalore,8 Lakh,8.0
868,Petrol,Sedan,Manual,1,Ford,Ford Aspire,2017,5.5,Comprehensive,44000,18.16,5.0,Grey,Bangalore,5.50 Lakh,5.5
869,Petrol,Hatchback,Manual,2,Hyundai,Hyundai i20,2012,4.0,Third Party insurance,70000,18.5,5.0,Others,Bangalore,4 Lakh,4.0
870,Diesel,Hatchback,Manual,1,Tata,Tata Indica V2,2012,1.3,Third Party insurance,120000,25.0,5.0,Silver,Bangalore,1.30 Lakh,1.3
871,Diesel,Sedan,Manual,4,Hyundai,Hyundai Verna,2012,3.75,Third Party insurance,120000,22.32,5.0,Black,Bangalore,3.75 Lakh,3.75
872,Petrol,Sedan,Manual,1,Maruti,Maruti Swift Dzire,2020,6.5,Third Party insurance,40000,21.21,5.0,Others,Bangalore,6.50 Lakh,6.5
873,Petrol,SUV,Automatic,1,Jeep,Jeep Compass,2021,25.5,Third Party insurance,10000,14.1,5.0,Others,Bangalore,25.50 Lakh,25.5
874,Diesel,SUV,Manual,1,Kia,Kia Sonet,2021,13.0,Third Party insurance,80000,19.24556842105263,5.0,Others,Bangalore,13 Lakh,13.0
875,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2016,6.09,Zero Dep,79415,21.4,5.0,Blue,Bangalore,6.09 Lakh,6.09
876,Diesel,Sedan,Automatic,1,Maruti,Maruti Swift Dzire,2017,6.78,Zero Dep,88411,26.59,5.0,Red,Bangalore,6.78 Lakh,6.78
877,Diesel,Sedan,Manual,4,Volkswagen,Volkswagen Vento,2011,3.75,Third Party insurance,120000,20.54,5.0,Others,Bangalore,3.75 Lakh,3.75
878,Diesel,Hatchback,Manual,1,Maruti,Maruti Swift,2012,4.49,Third Party,106516,22.9,5.0,Others,Bangalore,4.49 Lakh,4.49
879,Diesel,Hatchback,Manual,2,Maruti,Maruti Swift,2015,5.52,Comprehensive,88509,25.2,5.0,Red,Bangalore,5.52 Lakh,5.52
880,Diesel,SUV,Manual,1,Mahindra,Mahindra XUV500,2015,9.25,Third Party insurance,120000,15.1,7.0,Silver,Bangalore,9.25 Lakh,9.25
881,Petrol,Sedan,Manual,2,Ford,Ford Ikon,2004,0.56,Third Party insurance,80000,14.2,5.0,Silver,Bangalore,"56,000",0.56
882,Petrol,Hatchback,Manual,1,Maruti,Maruti Swift,2013,4.26,Comprehensive,44437,22.38,5.0,Others,Bangalore,4.26 Lakh,4.26
883,Diesel,Hatchback,Manual,2,Hyundai,Hyundai i20,2015,6.07,Third Party insurance,83731,22.54,5.0,Others,Bangalore,6.07 Lakh,6.07
884,Petrol,Sedan,Manual,2,Ford,Ford Ikon,2004,0.56,Third Party insurance,80000,14.2,5.0,Silver,Bangalore,"56,000",0.56
885,Diesel,SUV,Manual,1,Mahindra,Mahindra Bolero Power Plus,2018,8.45,Comprehensive,77000,16.5,7.0,White,Bangalore,8.45 Lakh,8.45
886,Petrol,SUV,Automatic,2,MG,MG Hector,2020,16.5,Comprehensive,23000,19.24556842105263,5.0,Black,Bangalore,16.50 Lakh,16.5
887,Diesel,Hatchback,Manual,3,Ford,Ford Figo,2012,2.4,Third Party insurance,110000,20.0,5.0,Others,Bangalore,2.40 Lakh,2.4
888,Petrol,Hatchback,Automatic,1,Maruti,Maruti Wagon R,2022,6.8,Third Party insurance,30000,20.52,5.0,Others,Bangalore,6.80 Lakh,6.8
889,Diesel,MUV,Manual,2,Toyota,Toyota Innova,2006,5.0,Third Party insurance,120000,12.8,7.0,Others,Bangalore,5 Lakh,5.0
890,Petrol,Sedan,Manual,2,Tata,Tata Manza,2011,2.5,Third Party insurance,60000,13.7,5.0,Others,Bangalore,2.50 Lakh,2.5
891,Petrol,Hatchback,Manual,1,Maruti,Maruti Baleno,2018,7.2,Third Party insurance,80000,21.4,5.0,Others,Bangalore,7.20 Lakh,7.2
892,Petrol,Hatchback,Manual,4,Tata,Tata Nano,2011,0.6,Third Party insurance,110000,26.0,4.0,Others,Bangalore,"60,000",0.6
